0.4254742547425474 [628, 1476] [0.1, [2, 3, 4, 5], [100, 120, 140, 160], 3]
0.42073170731707316 [621, 1476] [0.1, [2, 4, 4, 5], [100, 120, 140, 160], 3]
0.4254742547425474 [628, 1476] [0.1, [2, 5, 4, 5], [100, 120, 140, 160], 3]
0.42886178861788615 [633, 1476] [0.1, [2, 6, 4, 5], [100, 120, 140, 160], 3]
0.4281842818428184 [632, 1476] [0.1, [3, 3, 4, 5], [100, 120, 140, 160], 3]
0.42208672086720866 [623, 1476] [0.1, [3, 4, 4, 5], [100, 120, 140, 160], 3]
0.4261517615176152 [629, 1476] [0.1, [3, 5, 4, 5], [100, 120, 140, 160], 3]
0.42953929539295393 [634, 1476] [0.1, [3, 6, 4, 5], [100, 120, 140, 160], 3]
0.4254742547425474 [628, 1476] [0.1, [4, 3, 4, 5], [100, 120, 140, 160], 3]
0.42140921409214094 [622, 1476] [0.1, [4, 4, 4, 5], [100, 120, 140, 160], 3]
0.4254742547425474 [628, 1476] [0.1, [4, 5, 4, 5], [100, 120, 140, 160], 3]
0.43021680216802166 [635, 1476] [0.1, [4, 6, 4, 5], [100, 120, 140, 160], 3]
0.4261517615176152 [629, 1476] [0.1, [5, 3, 4, 5], [100, 120, 140, 160], 3]
0.42140921409214094 [622, 1476] [0.1, [5, 4, 4, 5], [100, 120, 140, 160], 3]
0.4241192411924119 [626, 1476] [0.1, [5, 5, 4, 5], [100, 120, 140, 160], 3]
0.4268292682926829 [630, 1476] [0.1, [5, 6, 4, 5], [100, 120, 140, 160], 3]
